Código,Autores,Ano,País,Periódico,DOI,Fonte de identificação,Tipo de estudo,Eixo temático,Tecnologia principal (ASR / NLP / LLM),Contexto clínico,Características da população / dados,Principal desfecho / achado,Critérios IC atendidos,Observações
S01,"Bazoge, A.; Morin, E.; Daille, B.; Gourraud, P.-A.",2023,França,JMIR Medical Informatics,10.2196/42477,Busca eletrônica (PubMed),Revisão sistemática,A,"Transformers, BERT, Deep Learning",Armazéns de dados clínicos (CDWs),"Revisões de literatura; dados secundários de CDWs",NER em CDWs; fenotipagem; migração de métodos simbólicos para deep learning,"IC1, IC2, IC3, IC4",
S02,"Navarro, D.F.; et al.",2023,Austrália,International Journal of Medical Informatics,10.1016/j.ijmedinf.2023.105122,Busca eletrônica (PubMed),Revisão sistemática,A,"BERT, BioBERT, NLP clínico",Texto livre de prontuários (EHR),"Revisões de literatura; dados de EHR em múltiplos contextos",NER clínico de problemas e tratamentos; BERT lidera; escassez de implementações reais,"IC1, IC2, IC3, IC4",
S03,"Watabe, S.; et al.",2025,Japão,Scientific Reports,10.1038/s41598-025-12845-3,Busca eletrônica (PubMed),Empírico,A,BERT-CRF,"Consultas clínicas; linguagem coloquial de pacientes","Dados gerados por pacientes em linguagem natural","F1 > 0,8; extração de sintomas relatados pelo paciente em linguagem coloquial","IC1, IC2, IC3, IC4",
S04,"Sezgin, E.; et al.",2023,EUA,JMIR Formative Research,10.2196/43014,Busca eletrônica (PubMed),Empírico,A,"NER + SNOMED CT, zero-shot","Patient-Generated Health Data (PGHD); telemedicina","Dados gerados por pacientes; abordagem zero-shot",Identificação de sintomas em PGHD sem anotação manual prévia,"IC1, IC2, IC3, IC4",
S05,"Koleck, T.A.; et al.",2019,EUA,"Journal of the American Medical Informatics Association (JAMIA)",10.1093/jamia/ocy173,Busca eletrônica (PubMed),Revisão sistemática,A,"NLP, classificadores, ML","Texto livre de EHR; sintomas subjetivos (dor, humor)","Revisões de literatura; EHRs de múltiplas especialidades",Extração de sintomas subjetivos em EHR; sucesso de algoritmos de classificação,"IC1, IC2, IC3, IC4",
S06,"Wang, Y.; et al.",2018,EUA,Journal of Biomedical Informatics,10.1016/j.jbi.2017.11.011,Snowballing,Revisão de literatura,A,"cTAKES, MedLEE, ML, sistemas baseados em regras","Aplicações de extração de informação clínica","263 estudos revisados; múltiplos contextos clínicos","263 sistemas de extração clínica; panorama histórico NLP clínico; transição regras → ML","IC1, IC2, IC3, IC4",
S07,"Krishna, K.; et al.",2021,EUA,arXiv / Carnegie Mellon University,10.48550/arXiv.2005.01795,Busca eletrônica (PubMed),Preprint (‡),B,CLUSTER2SENT,"Consultas médico-paciente gravadas; geração de notas SOAP","Dados de consultas densas; conversas médico-paciente",Notas SOAP geradas automaticamente a partir de consultas; estruturação de saídas analíticas,"IC1, IC2, IC3, IC4",Preprint (medRxiv/arXiv) — confirmar IC4 e política IJMI
S08,"Klusty, M.A.; et al.",2025,EUA,University of Kentucky / PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC12150720/,Busca eletrônica (PubMed),Empírico,B,"Whisper (OpenAI) + PyAnnote, on-premise","Transcrição clínica on-premise; ambiente hospitalar","Consultas médicas gravadas; foco em privacidade","WER de aproximadamente 9%; transcrição on-premise viável; privacidade garantida sem envio externo","IC1, IC2, IC3, IC4",
S09,"Abbasian, M.; et al.",2024,EUA,npj Digital Medicine,10.1038/s41746-024-01074-z,Busca eletrônica (PubMed),Framework,B,"IA generativa, RAG, LLM","Conversas de saúde geradas por IA generativa","Dados sintéticos e conversas geradas por IA na saúde",Métricas de groundedness, segurança e empatia para IAs generativas na saúde,"IC1, IC2, IC3, IC4",
S10,"Aleksić, D.; et al.",2017,Sérvia,Journal of Biomedical Informatics,10.1016/j.jbi.2017.04.012,Snowballing,Empírico,B,"Resumo de EHR, dashboards","Monitoramento de doença crônica via EHR","Pacientes com doenças crônicas; dados de prontuários",Dashboard para triagem de pacientes que precisam de atenção especializada; redução de carga cognitiva,"IC1, IC2, IC3, IC4",Estudo de 2017 — incluído pelo IC3 (período 2014–2026)
S11,"Tran, B.D.; et al.",2023,EUA,AMIA / University of California,https://pmc.ncbi.nlm.nih.gov/articles/PMC10148344/,Busca eletrônica (PubMed),Empírico,B,"ASR geral vs. especializado (modelos comparados)","Escribe digital; transcrição de consultas médicas","Consultas clínicas; comparação de modelos ASR gerais e especializados","WER; erros em pronomes curtos mais críticos que termos médicos complexos","IC1, IC2, IC3, IC4",
S12,"Schloss, B.; Konam, S.",2020,EUA,Proceedings of Machine Learning Research,10.48550/arXiv.2007.08749,Busca eletrônica (PubMed),Preprint (‡),B,"Bi-LSTM hierárquico, classificação de enunciados","Conversas médico-paciente; classificação SOAP","Dados de consultas; transcrições com ruído","Classificação de utterances em seções SOAP; estratégias modulares para transcrições ruidosas","IC1, IC2, IC3, IC4",Preprint — confirmar IC4 e política IJMI
S13,"van Buchem, M.M.; et al.",2021,Países Baixos,npj Digital Medicine,10.1038/s41746-021-00432-5,Snowballing,Scoping review,B,"Escribas digitais (revisão de métodos)","Prática clínica real; usabilidade de escribas digitais","Estudos de escribas digitais em múltiplos contextos clínicos",Lacunas de usabilidade e utilidade clínica real; necessidade de estudos prospectivos,"IC1, IC2, IC3, IC4",
S14,"Falcetta, F.S.; et al.",2023,Brasil,[verificar — periódico não disponível na BaseCitacoes.md],[verificar],Snowballing,Revisão sistemática,B,"Escribas digitais (revisão)","Documentação clínica automatizada","22 escribas digitais mapeados em revisão sistemática","Mapeamento de 22 escribas digitais; ausência de validação prospectiva","IC1, IC2, IC3, IC4",[verificar DOI e periódico]
S15,"Ng, B.Y.; et al.",2025,Singapura,[verificar — periódico não disponível na BaseCitacoes.md],[verificar],Busca eletrônica (PubMed),Revisão sistemática,B,"ASR clínico (revisão de modelos)","Transcrição ASR em contextos clínicos variados","Estudos de ASR clínico; múltiplos contextos e especialidades","WER variou de 8,7% a >50% conforme contexto clínico","IC1, IC2, IC3, IC4",[verificar DOI e periódico]
S16,"Shao, J.; et al.",2025,China,Frontiers in Public Health,10.3389/fpubh.2025.1606403,Busca eletrônica (PubMed),Empírico,C,"Escala DPCQ (14 itens); questionário estruturado","Comunicação médico-paciente; consultas ambulatoriais","Pacientes e médicos em contexto ambulatorial",Escala DPCQ de qualidade de comunicação; dimensões emocional e comportamental,"IC1, IC2, IC3, IC4",
S17,"Muscat, D.M.; et al.",2020,Austrália,Journal of General Internal Medicine,10.1007/s11606-020-05912-0,Snowballing,Framework conceitual,C,"Tomada de decisão compartilhada; comunicação verbal","Consultas clínicas; literacia em saúde","Pacientes com baixa literacia em saúde; contexto ambulatorial","Tomada de decisão compartilhada exige construção de habilidades via instrução verbal; monitoramento de literacia","IC1, IC2, IC3, IC4",
S18,"Kelley, J.M.; et al.",2014,EUA,PLoS ONE,10.1371/journal.pone.0094207,Snowballing,Meta-análise,C,"Análise de comunicação clínica (revisão/meta-análise)","Relação clínico-paciente; múltiplas especialidades","Meta-análise de estudos sobre comunicação e desfechos","Relação clínica impacta desfechos objetivos; comunicação emocional e cognitiva significativa","IC1, IC2, IC3, IC4",Estudo de 2014 — incluído pelo IC3 (período 2014–2026)
S19,"Rucinski, K.; et al.",2022,EUA,Journal of Patient Care,10.35248/2573-4598.22.8.203,Busca eletrônica (PubMed),Revisão sistemática,C,"Métricas de adesão; comunicação clínica","Reabilitação ortopédica; adesão bilateral","Pacientes ortopédicos e equipe de saúde","Métricas atuais falham ao ignorar barreiras da equipe e do sistema; necessidade de dados auditáveis","IC1, IC2, IC3, IC4",
S20,"McCabe, R.; Healey, P.G.T.",2018,Reino Unido,Topics in Cognitive Science,10.1111/tops.12337,Snowballing,Empírico,C,"Análise de conversa; linguística","Consultas psiquiátricas e clínicas gerais","Pacientes em contexto clínico; análise de turnos de fala","Autorreparo na fala médica prediz adesão superior; análise de dinâmicas microscópicas da fala","IC1, IC2, IC3, IC4",
